Name,RT,MST1
Alanine 2TMS,7.6079,190
Glycine 2TMS,7.956933333,204
Valine 2TMS,9.648366667,144
"13C,15N-Valine",9.648366667,149
Serine 2TMS,10.443,116
Leucine 2TMS,10.68866667,158
Isoleucine 2TMS,11.09753333,158
Threonine 2TMS,11.1255,117
Proline 1TMS,11.21533333,142
Glycine 3TMS,11.34273333,248
Succinate 2TMS,11.51786667,247
Norleucine 2TMS,11.5823,158
Serine 3TMS,12.31103333,204
Threonine 3TMS,12.77476667,218
Aspartate 2TMS,13.54556667,245
Glutamine 3TMS,14.41386667,229
Putrescine 3TMS,15.05506667,304
Aspartate 3TMS,15.19493333,232
Methionine 2TMS,15.22103333,293
Pyroglutamate 2TMS,15.29336667,156
Cysteine 3TMS,15.79696667,294
Phenylalanine,16.1,120
alpha-Ketoglutaric acid,16.1591,198
Ornithine 3TMS,16.7809,162
Glutamate 3TMS,16.87223333,246
Phenylalanine 2TMS,17.029,192
Ribose,17.5,307
Asparagine 3TMS,17.70463333,188
Lysine 3TMS pk1,18.26716667,230
Ribitol,18.4521,319
Fucose MX1,18.47963333,117
Fucose MX2,18.6808,117
Putrescine 4TMS,18.72963333,214
Glutamine 4TMS,19.32033333,347
Ornithine 4TMS,19.9296,420
Citric acid,19.93015,183
Isocitric acid,19.9374,245
Lysine 3TMS pk2,20.50565,258
Fructose MX1,20.65376667,307
Fructose MX2,20.7974,307
Glucose MX1,21.02343333,319
Tyrosine 2TMS,21.04575,208
Glucose MX2,21.30165,205
Lysine 4TMS,21.46196667,174
Mannitol,21.46375,319
Histidine,21.48895,154
13C Sorbitol,21.55495,323
Tyrosine 3TMS,21.72696667,280
Myoinositol 6TMS,23.7003,305
Ribose-5-phosphate MX1,23.92526667,357
Ribose-5-phosphate MX2,23.98416667,357
Tryptophan 2TMS,25.22763333,231
Tryptophan 3TMS,25.4253,305
Cysteine 4TMS,26.32856667,411
Fructose-6-Phosphate,26.45,217
Glucose-6-Phosphate MX1,26.53396667,299
Glucose-6-Phosphate MX2,26.76696667,299
Trehalose 8TMS,31.17496667,361
Lanosterol,37.06965,498
Maltotriose MX1,38.3011,361
Maltotriose MX2,38.62,361
